Rettangoli_naif , Trapezi , Simpson
660000 , 1.30173e-06 , -3.28871e-13 , -1.47018e-16
670000 , 1.2823e-06 , -3.1914e-13 , -1.38995e-16
680000 , 1.26344e-06 , -3.09809e-13 , -1.51571e-16
690000 , 1.24513e-06 , -3.00906e-13 , -1.45934e-16
700000 , 1.22734e-06 , -2.92373e-13 , -1.28044e-16
710000 , 1.21006e-06 , -2.84214e-13 , -1.22732e-16
720000 , 1.19325e-06 , -2.76333e-13 , -1.29779e-16
730000 , 1.17691e-06 , -2.68864e-13 , -1.65341e-16
740000 , 1.161e-06 , -2.61623e-13 , -1.47885e-16
750000 , 1.14552e-06 , -2.54711e-13 , -1.45717e-16
760000 , 1.13045e-06 , -2.48048e-13 , -1.68051e-16
770000 , 1.11577e-06 , -2.41657e-13 , -1.68702e-16
780000 , 1.10146e-06 , -2.35499e-13 , -1.58402e-16
790000 , 1.08752e-06 , -2.29566e-13 , -1.26201e-16
800000 , 1.07393e-06 , -2.23885e-13 , -1.77267e-16
810000 , 1.06067e-06 , -2.18408e-13 , -1.23599e-16
820000 , 1.04773e-06 , -2.13078e-13 , -1.21322e-16
830000 , 1.03511e-06 , -2.08021e-13 , -1.41814e-16
840000 , 1.02279e-06 , -2.03054e-13 , -1.39754e-16
850000 , 1.01075e-06 , -1.98355e-13 , -1.24792e-16
860000 , 9.99001e-07 , -1.93736e-13 , -1.41814e-16
870000 , 9.87518e-07 , -1.89348e-13 , -1.74014e-16
880000 , 9.76296e-07 , -1.85002e-13 , -1.10047e-16
890000 , 9.65327e-07 , -1.80919e-13 , -1.72497e-16
900000 , 9.54601e-07 , -1.76935e-13 , -1.74231e-16
910000 , 9.44111e-07 , -1.73068e-13 , -1.89627e-16
920000 , 9.33849e-07 , -1.69337e-13 , -1.43223e-16
930000 , 9.23807e-07 , -1.6568e-13 , -1.17311e-16
940000 , 9.1398e-07 , -1.62221e-13 , -1.53957e-16
950000 , 9.04359e-07 , -1.588e-13 , -1.39537e-16
960000 , 8.94938e-07 , -1.55531e-13 , -1.70545e-16
970000 , 8.85712e-07 , -1.52326e-13 , -1.26093e-16
980000 , 8.76674e-07 , -1.49223e-13 , -1.29887e-16
990000 , 8.67819e-07 , -1.46241e-13 , -1.99602e-16
